season,player_name,player_team,player_age,player_height_raw,Weight,player_college,player_country,GP,PTS,REB,AST,NetRtg,OREB%,DREB%,USG%,TS%,AST%
2025,Sarah Ashlee Barker,LAS,24,6-0,-,Alabama,,34,3.1,1.9,0.9,-9.2,2.10%,11.80%,13.60%,45.80%,10.10%
2025,Satou Sabally,PHX,28,6-4,175,Oregon,USA,39,16.3,5.9,2.5,7.9,5.10%,17.10%,27.60%,53.30%,17.00%
2025,Serena Sundell,DAL,23,6-1,-,Kansas State,,3,0,0.3,0,-44.9,0.00%,5.60%,5.60%,0.00%,0.00%
2025,Sevgi Uzun,CHI,28,5-10,141,None,Turkey,25,3.1,1.2,2.5,-6.5,0.20%,7.20%,14.70%,38.20%,23.00%
2025,Shakira Austin,WAS,25,6-5,190,Mississippi,USA,38,12.7,6.4,1.8,-7,6.80%,23.00%,28.30%,50.60%,16.20%
2025,Shatori Walker-Kimbrough,ATL,30,5-9,140,Maryland,USA,41,1.7,0.9,0.5,2.2,0.80%,9.20%,10.10%,52.30%,10.40%
2025,Shey Peddy,IND,37,5-7,145,Temple,USA,15,5.1,1.7,2.1,-1.5,2.70%,7.50%,11.50%,65.30%,18.60%
2025,Sika Kone,ATL,23,6-3,180,None,Spain,19,1.4,1,0.3,-9.3,3.40%,16.30%,16.00%,48.70%,13.60%
2025,Skylar Diggins,SEA,35,5-9,140,Notre Dame,USA,43,15.5,2.5,6,7.6,2.00%,6.30%,23.50%,53.60%,30.50%
2025,Sonia Citron,WAS,22,6-1,-,Notre Dame,,44,14.9,4,2.4,-4.2,2.20%,10.70%,19.50%,60.90%,13.50%
2025,Sophie Cunningham,IND,29,6-1,165,Missouri,USA,30,8.6,3.5,1.2,1.7,2.00%,12.10%,12.80%,65.50%,7.30%
2025,Stefanie Dolson,WAS,34,6-5,235,Connecticut,USA,43,3.7,2.3,1.4,-4.1,2.60%,12.10%,12.20%,53.40%,15.10%
2025,Stephanie Talbot,NYL,31,6-2,192,None,Australia,38,2.9,2.7,1.7,-3.7,4.60%,13.30%,12.40%,48.10%,19.80%
2025,Sug Sutton,WAS,27,5-8,140,Texas-Austin,USA,43,7.4,1.8,3.9,-2.3,0.80%,6.30%,15.20%,52.30%,24.70%
2025,Sydney Colson,IND,36,5-8,137,Texas A&M,USA,30,2.4,0.8,2,-3.9,1.70%,4.70%,11.90%,44.90%,23.80%
2025,Taylor Thierry,ATL,23,6-1,-,Ohio State,,17,0.4,0.4,0.1,-15.6,4.90%,11.10%,16.30%,23.50%,11.80%
2025,Te-Hina Paopao,ATL,23,5-9,-,South Carolina,,43,5.8,1.6,2.4,11.4,1.40%,8.30%,16.30%,55.90%,23.10%
2025,Teaira McCowan,DAL,29,6-7,239,Mississippi State,USA,17,5.6,4.6,0.6,-9.8,11.70%,20.20%,17.10%,59.60%,7.60%
2025,Temi Fagbenle,GSV,33,6-4,180,Harvard,United Kingdo...,39,7.4,4.9,1.6,0.3,7.80%,13.10%,15.60%,54.40%,12.70%
2025,Tiffany Hayes,GSV,36,5-10,155,Connecticut,USA,26,11.7,3.8,3,5.2,2.50%,11.40%,20.80%,55.70%,21.30%
2025,Tiffany Mitchell,SEA,31,5-9,169,South Carolina,USA,39,3.2,1.1,0.3,-1.5,2.10%,6.20%,12.70%,51.40%,3.80%
2025,Tina Charles,CON,37,6-4,192,Connecticut,USA,43,16.3,5.8,1.7,-16.6,5.00%,16.30%,27.40%,51.50%,12.40%
2025,Tyasha Harris,DAL,28,5-10,152,South Carolina,USA,5,4.6,1,2.6,8,1.10%,4.60%,11.10%,60.90%,22.80%
2025,Veronica Burton,GSV,25,5-9,155,Northwestern,USA,44,11.9,4.4,6,4,3.80%,10.90%,19.40%,56.10%,36.70%
