player_id,player_name,player_name_key,season,player_team,position_full,position,jersey_number,player_age,age_2026,player_height_raw,height_inches,weight_lbs,player_college,player_country,gp_2025,pts_2025,reb_2025,ast_2025,net_rtg_2025,oreb_pct,dreb_pct,usage_pct_bio,ts_pct_bio,ast_pct_bio
1642818,Maddy Westbeld,maddywestbeld,2025,CHI,Forward,F,21,24.0,25.0,6-3,75.0,,Notre Dame,,26.0,4.1,2.4,0.9,-16.7,0.061,0.133,0.165,0.478,0.122
1642810,Madison Scott,madisonscott,2025,WAS,,,,24.0,25.0,6-2,74.0,,Mississippi,USA,9.0,1.6,0.1,0.2,-4.0,0.024,0.0,0.126,0.5489999999999999,0.063
1642815,Makayla Timpson,makaylatimpson,2025,IND,,,,23.0,24.0,6-2,74.0,173.0,Florida State,,31.0,2.6,1.8,0.0,2.5,0.0819999999999999,0.198,0.155,0.595,0.008
1642841,Mamignan Toure,mamignantoure,2025,CON,Guard,G,28,31.0,32.0,6-0,72.0,,,France,18.0,2.0,0.4,0.5,-8.2,0.025,0.022,0.135,0.462,0.1
1628926,Maria Kliundikova,mariakliundikova,2025,MIN,Forward,F,77,27.0,28.0,6-4,76.0,190.0,,Russia,34.0,4.4,3.0,0.6,9.1,0.121,0.149,0.183,0.539,0.081
1629497,Marina Mabrey,marinamabrey,2025,CON,Guard,G,3,29.0,30.0,5-11,71.0,170.0,Notre Dame,USA,35.0,14.4,4.2,4.0,-12.8,0.015,0.128,0.248,0.477,0.244
1629546,Marine Johannes,marinejohannes,2025,NYL,Guard,G,23,31.0,32.0,5-10,70.0,134.0,,France,44.0,6.4,1.9,1.6,6.4,0.017,0.0819999999999999,0.17,0.54,0.134
,Marième Badiane,mariemebadiane,2025,MIN,Center,C,TBD,31.0,32.0,6-4,76.0,181.0,,France,3.0,0.0,0.3,0.0,-27.3,0.071,0.0,0.185,0.0,0.0
,Marquesha Davis,marqueshadavis,2025,CHI,Guard,G,TBD,24.0,25.0,6-0,72.0,,Mississippi,USA,11.0,0.9,0.6,0.1,-13.7,0.065,0.091,0.16,0.382,0.042
1630471,Maya Caldwell,mayacaldwell,2025,ATL,Guard,G,33,27.0,28.0,5-11,71.0,160.0,Georgia,USA,41.0,5.4,3.1,1.8,9.6,0.045,0.119,0.14,0.542,0.153
1629484,Megan Gustafson,megangustafson,2025,LVA,Center,C,17,29.0,30.0,6-4,76.0,195.0,Iowa,USA,20.0,3.0,1.8,0.3,-12.7,0.034,0.129,0.131,0.472,0.035
1642799,Megan McConnell,meganmcconnell,2025,PHX,Guard,G,TBD,24.0,25.0,5-7,67.0,,Duquesne,,1.0,3.0,1.0,3.0,-83.3,0.053,0.0,0.129,0.375,0.6
